scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
maze,0.0,0.1,True,20,500,0,19,0.95,480.0,500,71920.0,480.0,0,0.8462060689926147,nan
maze,0.0,0.1,True,20,500,1000,19,0.95,480.0,500,72445.0,480.0,0,0.830557644367218,nan
maze,0.0,0.1,True,20,500,2000,20,1.0,500.0,500,72575.0,500.0,0,0.8292801380157471,nan
maze,0.0,0.1,True,20,500,3000,19,0.95,480.0,500,72895.0,480.0,0,0.8287245035171509,nan
maze,0.0,0.1,True,20,500,4000,18,0.9,460.0,500,72615.0,460.0,0,0.8424513936042786,nan
maze,0.0,0.1,False,20,500,0,15,0.75,400.0,500,533400.0,400.0,0,1.0,0.4129027724266052
maze,0.0,0.1,False,20,500,1000,15,0.75,400.0,500,529575.0,400.0,0,1.0,0.4129027724266052
maze,0.0,0.1,False,20,500,2000,11,0.55,320.0,500,388730.0,320.0,0,1.0,0.4129027724266052
maze,0.0,0.1,False,20,500,3000,16,0.8,420.0,500,555805.0,420.0,0,1.0,0.4129027724266052
maze,0.0,0.1,False,20,500,4000,14,0.7,380.0,500,486170.0,380.0,0,1.0,0.4129027724266052
maze,0.1,0.1,True,20,500,10,20,1.0,500.0,500,74300.0,500.0,0,0.827439546585083,nan
maze,0.1,0.1,True,20,500,1010,20,1.0,500.0,500,72500.0,500.0,0,0.8327333927154541,nan
maze,0.1,0.1,True,20,500,2010,20,1.0,500.0,500,71975.0,500.0,0,0.8329625725746155,nan
maze,0.1,0.1,True,20,500,3010,19,0.95,480.0,500,72145.0,480.0,0,0.8256029486656189,nan
maze,0.1,0.1,True,20,500,4010,19,0.95,480.0,500,72445.0,480.0,0,0.8355152010917664,nan
maze,0.1,0.1,False,20,500,10,16,0.8,420.0,500,557455.0,420.0,0,1.0,0.4129027724266052
maze,0.1,0.1,False,20,500,1010,15,0.75,400.0,500,527100.0,400.0,0,1.0,0.4129027724266052
maze,0.1,0.1,False,20,500,2010,15,0.75,400.0,500,525675.0,400.0,0,1.0,0.4129027724266052
maze,0.1,0.1,False,20,500,3010,14,0.7,380.0,500,493820.0,380.0,0,1.0,0.4129027724266052
maze,0.1,0.1,False,20,500,4010,15,0.75,400.0,500,530550.0,400.0,0,1.0,0.4129027724266052
maze,0.3,0.1,True,20,500,30,20,1.0,500.0,500,72875.0,500.0,0,0.8287598490715027,nan
maze,0.3,0.1,True,20,500,1030,19,0.95,480.0,500,72295.0,480.0,0,0.8231993913650513,nan
maze,0.3,0.1,True,20,500,2030,18,0.9,460.0,500,71115.0,460.0,0,0.8240034580230713,nan
maze,0.3,0.1,True,20,500,3030,20,1.0,500.0,500,72275.0,500.0,0,0.8303669691085815,nan
maze,0.3,0.1,True,20,500,4030,19,0.95,480.0,500,71845.0,480.0,0,0.8372423648834229,nan
maze,0.3,0.1,False,20,500,30,17,0.85,440.0,500,600035.0,440.0,0,1.0,0.4129027724266052
maze,0.3,0.1,False,20,500,1030,13,0.65,360.0,500,460015.0,360.0,0,1.0,0.4129027724266052
maze,0.3,0.1,False,20,500,2030,13,0.65,360.0,500,449890.0,360.0,0,1.0,0.4129027724266052
maze,0.3,0.1,False,20,500,3030,16,0.8,420.0,500,554680.0,420.0,0,1.0,0.4129027724266052
maze,0.3,0.1,False,20,500,4030,15,0.75,400.0,500,532500.0,400.0,0,1.0,0.4129027724266052
