scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
default,0.0,0.1,True,20,500,0,19,0.95,480.0,500,430.0,480.0,0,0.93868088722229,1.6434736251831055
default,0.0,0.1,True,20,500,1000,20,1.0,500.0,500,476.0,500.0,0,0.9089229106903076,1.6830408573150635
default,0.0,0.1,True,20,500,2000,20,1.0,500.0,500,450.0,500.0,0,0.9113121032714844,1.6830464601516724
default,0.0,0.1,True,20,500,3000,15,0.75,400.0,500,362.0,400.0,0,0.9262058734893799,1.5042479038238525
default,0.0,0.1,True,20,500,4000,18,0.9,460.0,500,431.0,460.0,0,0.9219130873680115,1.6107648611068726
default,0.0,0.1,True,20,500,5000,18,0.9,460.0,500,430.0,460.0,0,0.910863995552063,1.6074937582015991
default,0.0,0.1,True,20,500,6000,19,0.95,480.0,500,430.0,480.0,0,0.8994852304458618,1.6434522867202759
default,0.0,0.1,True,20,500,7000,20,1.0,500.0,500,458.0,500.0,0,0.9204514622688293,1.6794509887695312
default,0.0,0.1,True,20,500,8000,20,1.0,500.0,500,437.0,500.0,0,0.9022355079650879,2.0764670372009277
default,0.0,0.1,True,20,500,9000,20,1.0,500.0,500,446.0,500.0,0,0.9158231616020203,1.6830451488494873
default,0.0,0.1,False,20,500,0,3,0.15,160.0,500,48.0,160.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,1000,3,0.15,160.0,500,58.0,160.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,2000,4,0.2,180.0,500,96.0,180.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,3000,4,0.2,180.0,500,69.0,180.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,4000,2,0.1,140.0,500,50.0,140.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,5000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.00047103071119636297
default,0.0,0.1,False,20,500,6000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.00047103071119636297
default,0.0,0.1,False,20,500,7000,2,0.1,140.0,500,32.0,140.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,8000,6,0.3,220.0,500,114.0,220.0,0,1.0,0.0007323415484279394
default,0.0,0.1,False,20,500,9000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.00047103071119636297
default,0.1,0.1,True,20,500,10,16,0.8,420.0,500,403.0,420.0,0,0.9149644374847412,1.5326611995697021
default,0.1,0.1,True,20,500,1010,19,0.95,480.0,500,442.0,480.0,0,0.8999808430671692,1.6434659957885742
