config,quantum_coupling,classical_epsilon,seed,alive_rate,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac
classical,0.0,0.0,0,0.0,0,nan,nan
classical,0.0,0.0,1,0.0,0,nan,nan
classical,0.0,0.0,2,0.0,0,nan,nan
classical,0.0,0.0,3,0.0,0,nan,nan
classical,0.0,0.0,4,0.0,0,nan,nan
classical,0.0,0.0,5,0.0,0,nan,nan
classical,0.0,0.0,6,0.0,0,nan,nan
classical,0.0,0.0,7,0.0,0,nan,nan
classical,0.0,0.0,8,0.0,0,nan,nan
classical,0.0,0.0,9,0.0,0,nan,nan
eps0.1,0.0,0.1,0,0.7,14,0.0,0.5714285714285714
eps0.1,0.0,0.1,1,0.55,11,0.0,0.7272727272727273
eps0.1,0.0,0.1,2,0.65,13,0.0,0.7692307692307693
eps0.1,0.0,0.1,3,0.5,11,0.0,0.6363636363636364
eps0.1,0.0,0.1,4,0.55,11,0.0,0.8181818181818182
eps0.1,0.0,0.1,5,0.55,12,0.16666666666666666,0.5833333333333334
eps0.1,0.0,0.1,6,0.55,11,0.0,0.8181818181818182
eps0.1,0.0,0.1,7,0.45,9,0.0,0.8888888888888888
eps0.1,0.0,0.1,8,0.5,11,0.0,0.5454545454545454
eps0.1,0.0,0.1,9,0.55,11,0.0,0.6363636363636364
quantum_q0.3,0.3,0.0,0,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,1,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,2,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,3,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,4,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,5,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,6,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,7,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,8,1.0,20,0.0,1.0
quantum_q0.3,0.3,0.0,9,1.0,20,0.0,1.0
