config,quantum_coupling,seed,path_eff_reached,path_eff_mean,alive_rate
classical,0.0,0,0,nan,0.0
classical,0.0,1,0,nan,0.0
classical,0.0,2,0,nan,0.0
classical,0.0,3,0,nan,0.0
classical,0.0,4,0,nan,0.0
classical,0.0,5,0,nan,0.0
classical,0.0,6,0,nan,0.0
classical,0.0,7,0,nan,0.0
classical,0.0,8,0,nan,0.0
classical,0.0,9,0,nan,0.0
quantum_q0.3,0.3,0,20,0.8981605930541449,1.0
quantum_q0.3,0.3,1,20,0.8971135279029252,1.0
quantum_q0.3,0.3,2,20,0.8971135279029252,1.0
quantum_q0.3,0.3,3,20,0.8869841639677081,1.0
quantum_q0.3,0.3,4,20,0.889817158801627,1.0
quantum_q0.3,0.3,5,20,0.8971135279029252,1.0
quantum_q0.3,0.3,6,20,0.8971135279029252,1.0
quantum_q0.3,0.3,7,20,0.8971135279029252,1.0
quantum_q0.3,0.3,8,20,0.8823058574515974,1.0
quantum_q0.3,0.3,9,20,0.8971135279029252,1.0
