config,quantum_coupling,classical_epsilon,seed,alive_rate,barrier_crossings,wall_crossings,wall_step_crossings,seam_crossings,first_crossing_latency_median
classical,0.0,0.0,0,0.0,0,0,0,0,nan
classical,0.0,0.0,1,0.0,0,0,0,0,nan
classical,0.0,0.0,2,0.0,0,0,0,0,nan
classical,0.0,0.0,3,0.0,0,0,0,0,nan
classical,0.0,0.0,4,0.0,0,0,0,0,nan
classical,0.0,0.0,5,0.0,0,0,0,0,nan
classical,0.0,0.0,6,0.0,0,0,0,0,nan
classical,0.0,0.0,7,0.0,0,0,0,0,nan
classical,0.0,0.0,8,0.0,0,0,0,0,nan
classical,0.0,0.0,9,0.0,0,0,0,0,nan
eps0.1,0.0,0.1,0,0.35,15,0,15,0,4.0
eps0.1,0.0,0.1,1,0.25,11,0,12,0,25.0
eps0.1,0.0,0.1,2,0.3,17,0,17,0,28.0
eps0.1,0.0,0.1,3,0.2,12,1,11,0,32.0
eps0.1,0.0,0.1,4,0.35,14,0,14,0,20.0
eps0.1,0.0,0.1,5,0.15,13,0,14,0,15.0
eps0.1,0.0,0.1,6,0.25,15,0,15,0,29.0
eps0.1,0.0,0.1,7,0.3,12,0,12,0,24.5
eps0.1,0.0,0.1,8,0.15,12,0,12,0,21.0
eps0.1,0.0,0.1,9,0.2,11,0,11,0,29.0
quantum_q0.5,0.5,0.0,0,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,1,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,2,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,3,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,4,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,5,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,6,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,7,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,8,0.0,0,0,0,0,nan
quantum_q0.5,0.5,0.0,9,0.0,0,0,0,0,nan
