section,source_strength,harvests_per_50_steps,net_energy_per_50_steps,net_per_step,break_even
analytic,50.0,0,-50.0,-1.0,False
analytic,50.0,1,0.0,0.0,True
analytic,50.0,2,50.0,1.0,False
analytic,100.0,0,-50.0,-1.0,False
analytic,100.0,1,50.0,1.0,False
analytic,100.0,2,150.0,3.0,False
analytic,200.0,0,-50.0,-1.0,False
analytic,200.0,1,150.0,3.0,False
analytic,200.0,2,350.0,7.0,False

scenario,quantum_coupling,runs,alive_rate_mean,avg_survival_steps,avg_final_energy,energy_balance_vs_initial
default,0.0,10,0.450,280.000,270.000,170.000
default,0.1,10,0.700,380.000,224.000,124.000
default,0.3,10,0.900,460.000,288.000,188.000
default,0.5,10,0.900,460.000,288.000,188.000
maze,0.0,10,0.000,100.000,0.000,-100.000
maze,0.1,10,1.000,500.000,600.000,500.000
maze,0.3,10,1.000,500.000,600.000,500.000
maze,0.5,10,1.000,500.000,600.000,500.000
moving,0.0,10,0.450,280.000,270.000,170.000
moving,0.1,10,0.970,488.000,310.400,210.400
moving,0.3,10,0.660,364.000,211.200,111.200
moving,0.5,10,0.385,254.000,123.200,23.200
single_source,0.0,10,0.200,180.000,100.000,0.000
single_source,0.1,10,1.000,500.000,500.000,400.000
single_source,0.3,10,1.000,500.000,500.500,400.500
single_source,0.5,10,1.000,500.000,500.500,400.500
tunnel,0.0,10,0.000,100.000,0.000,-100.000
tunnel,0.1,10,0.900,460.000,450.000,350.000
tunnel,0.3,10,1.000,500.000,500.000,400.000
tunnel,0.5,10,1.000,500.000,500.500,400.500
