scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean,config
tunnel,0.0,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,1000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,2000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,3000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,4000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,5000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,6000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,7000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,8000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
tunnel,0.0,0.2,True,20,500,9000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9371022582054138,0.6782592535018921,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,0,nan,classical
