config,quantum_coupling,seed,path_eff_reached,path_eff_mean,alive_rate
classical,0.0,0,9,1.0206828536022075,0.45
classical,0.0,1,9,1.0206828536022075,0.45
classical,0.0,2,9,1.0206828536022075,0.45
classical,0.0,3,9,1.0206828536022075,0.45
classical,0.0,4,9,1.0206828536022075,0.45
classical,0.0,5,9,1.0206828536022075,0.45
classical,0.0,6,9,1.0206828536022075,0.45
classical,0.0,7,9,1.0206828536022075,0.45
classical,0.0,8,9,1.0206828536022075,0.45
classical,0.0,9,9,1.0206828536022075,0.45
quantum_q0.3,0.3,0,20,0.46687459341190235,1.0
quantum_q0.3,0.3,1,20,0.47080979535893874,1.0
quantum_q0.3,0.3,2,20,0.5640861782681024,1.0
quantum_q0.3,0.3,3,20,0.4712971188083645,1.0
quantum_q0.3,0.3,4,20,0.4559966532733487,1.0
quantum_q0.3,0.3,5,20,0.5596059411765799,1.0
quantum_q0.3,0.3,6,20,0.47111417133803,1.0
quantum_q0.3,0.3,7,20,0.5644238480039301,1.0
quantum_q0.3,0.3,8,20,0.4616743692098467,1.0
quantum_q0.3,0.3,9,20,0.5695026228703303,1.0
