config,quantum_coupling,seed,phi_mean,phi_final,alive_rate
classical,0.0,0,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,1,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,2,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,3,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,4,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,5,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,6,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,7,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,8,0.9893530635163188,0.9893530635163188,0.45
classical,0.0,9,0.9893530635163188,0.9893530635163188,0.45
quantum_q0.3,0.3,0,0.9892581826075911,0.9891800284385681,1.0
quantum_q0.3,0.3,1,0.989258024096489,0.9891802193596959,1.0
quantum_q0.3,0.3,2,0.9892551047727466,0.9891787124797702,1.0
quantum_q0.3,0.3,3,0.9892580525949597,0.9891802622005343,1.0
quantum_q0.3,0.3,4,0.9892581826075911,0.9891800284385681,1.0
quantum_q0.3,0.3,5,0.9892551047727466,0.9891787124797702,1.0
quantum_q0.3,0.3,6,0.9892580172047019,0.9891802165657282,1.0
quantum_q0.3,0.3,7,0.9892551047727466,0.9891787124797702,1.0
quantum_q0.3,0.3,8,0.9892581824213267,0.9891800275072455,1.0
quantum_q0.3,0.3,9,0.9892550762742758,0.9891786836087704,1.0
