scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,final_coherence_mean,final_pilot_wave_mean
moving,0.0,0.2,True,20,500,0,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,1,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,2,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,3,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,4,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,5,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,6,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,7,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,8,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,9,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.05,0.2,True,20,500,0,18,0.9,460.0,500,288.0,460.0,18,0,0.9229815006256104,12.849918365478516
moving,0.05,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.9273874759674072,12.206342697143555
moving,0.05,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.926221489906311,12.268051147460938
moving,0.05,0.2,True,20,500,3,18,0.9,460.0,500,288.0,460.0,18,0,0.9253363013267517,12.75676155090332
moving,0.05,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9777631759643555,3.089195728302002
moving,0.05,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.9249076247215271,12.771553039550781
moving,0.05,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9770076870918274,3.1175003051757812
moving,0.05,0.2,True,20,500,7,18,0.9,460.0,500,288.0,460.0,18,0,0.9249473810195923,12.77999496459961
moving,0.05,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.978203535079956,3.1134326457977295
moving,0.05,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.926307201385498,12.286538124084473
moving,0.1,0.2,True,20,500,0,20,1.0,500.0,500,320.0,500.0,20,0,0.9261924028396606,12.275680541992188
moving,0.1,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.927448034286499,12.208087921142578
moving,0.1,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.9273102283477783,12.263063430786133
moving,0.1,0.2,True,20,500,3,18,0.9,460.0,500,288.0,460.0,18,0,0.9254087805747986,12.775640487670898
moving,0.1,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9781680107116699,3.113105535507202
moving,0.1,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.925362229347229,12.775248527526855
moving,0.1,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9770853519439697,3.1202099323272705
moving,0.1,0.2,True,20,500,7,18,0.9,460.0,500,288.0,460.0,18,0,0.9251100420951843,12.780858993530273
moving,0.1,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9782981872558594,3.11392879486084
moving,0.1,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9262707233428955,12.286523818969727
moving,0.15,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9778004884719849,3.0942726135253906
moving,0.15,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.9272542595863342,12.21414852142334
moving,0.15,0.2,True,20,500,2,17,0.85,440.0,500,272.0,440.0,17,0,0.92024165391922,13.121185302734375
moving,0.15,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9768721461296082,3.2311456203460693
moving,0.15,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9782333374023438,3.1156997680664062
moving,0.15,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.9253686666488647,12.778068542480469
moving,0.15,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9771597981452942,3.122408151626587
moving,0.15,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9268133044242859,12.28287124633789
moving,0.15,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9782981872558594,3.11392879486084
moving,0.15,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9260783791542053,12.27712345123291
moving,0.2,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9778987169265747,3.0950562953948975
moving,0.2,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.927247941493988,12.21360969543457
moving,0.2,0.2,True,20,500,2,17,0.85,440.0,500,272.0,440.0,17,0,0.9203881025314331,13.124065399169922
moving,0.2,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9769649505615234,3.292949914932251
moving,0.2,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9782551527023315,3.1164391040802
moving,0.2,0.2,True,20,500,5,20,1.0,500.0,500,320.0,500.0,20,0,0.9260438680648804,12.27409553527832
moving,0.2,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.977165699005127,3.1256165504455566
moving,0.2,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9260638952255249,12.279581069946289
moving,0.2,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9783016443252563,3.114001512527466
moving,0.2,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9260128736495972,12.271380424499512
moving,0.3,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9783499836921692,3.1182446479797363
moving,0.3,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.9261963367462158,12.254268646240234
moving,0.3,0.2,True,20,500,2,17,0.85,440.0,500,272.0,440.0,17,0,0.9204043745994568,13.124177932739258
moving,0.3,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9777333736419678,3.104151964187622
moving,0.3,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9783213138580322,3.119692325592041
moving,0.3,0.2,True,20,500,5,20,1.0,500.0,500,320.0,500.0,20,0,0.9261003732681274,12.276450157165527
moving,0.3,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.977165699005127,3.1256165504455566
moving,0.3,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9260745644569397,12.28525161743164
moving,0.3,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9783376455307007,3.1192798614501953
moving,0.3,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9260965585708618,12.28406810760498
moving,0.4,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9783286452293396,3.1182661056518555
moving,0.4,0.2,True,20,500,1,0,0.0,100.0,100,0.0,100.0,0,0,0.9771936535835266,3.121471881866455
moving,0.4,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.9264211654663086,12.283660888671875
moving,0.4,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9776132702827454,3.120344877243042
moving,0.4,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9783584475517273,3.1196627616882324
moving,0.4,0.2,True,20,500,5,20,1.0,500.0,500,320.0,500.0,20,0,0.9266847372055054,12.251850128173828
moving,0.4,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9771603941917419,3.125572681427002
moving,0.4,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9267842769622803,12.261454582214355
moving,0.4,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9783645868301392,3.119696855545044
moving,0.4,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9268126487731934,12.260221481323242
moving,0.5,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9783744812011719,3.1214451789855957
moving,0.5,0.2,True,20,500,1,0,0.0,100.0,100,0.0,100.0,0,0,0.9771839380264282,3.121351718902588
moving,0.5,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.92640221118927,12.287111282348633
moving,0.5,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9783761501312256,3.121399164199829
moving,0.5,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.977965235710144,3.0978410243988037
moving,0.5,0.2,True,20,500,5,20,1.0,500.0,500,320.0,500.0,20,0,0.9266847372055054,12.251850128173828
moving,0.5,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9775943160057068,3.119987726211548
moving,0.5,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9267836213111877,12.261159896850586
moving,0.5,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9783662557601929,3.119675874710083
moving,0.5,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9268126487731934,12.260221481323242
